6,3,2
7,3,3
8,3,4
9,3,5
10,3,6
11,3,9
12,3,10
13,3,11
14,3,12
15,3,13
16,3,15
17,3,16
18,3,17
19,3,18
20,4,2
21,4,3
22,4,4
23,4,5
24,4,6
25,4,11
26,4,13
27,4,16
28,4,17
29,4,18
30,5,2
31,5,3
32,5,11
33,5,17
34,6,2
35,6,3
36,6,4
37,6,5
38,6,6
39,6,7
40,6,8
41,6,9
42,6,11
43,6,12
44,6,13
45,6,14
46,6,16
47,6,17
48,6,18
49,7,4
50,7,9
51,7,10
52,7,13
53,7,14
54,7,15
55,7,17
56,7,18
57,8,2
58,8,4
59,8,7
60,8,17
61,9,4
62,9,5
63,9,6
64,9,9
65,9,10
66,9,12
67,9,13
68,9,14
69,9,18
70,10,3
71,10,4
72,10,5
73,10,6
74,10,9
75,10,10
76,10,12
77,10,13
78,10,15
79,10,16
80,10,18
81,11,3
82,11,4
83,11,5
84,11,10
85,11,11
86,11,12
87,11,13
88,11,14
89,11,16
90,11,17
91,11,18
92,12,2
93,12,4
94,12,5
95,12,9
96,12,11
97,12,17
98,12,18
99,13,3
100,13,4
101,13,5
102,13,9
103,13,10
104,13,12
105,13,13
106,13,18
107,14,2
108,14,3
109,14,4
110,14,6
111,14,7
112,14,9
113,14,10
114,14,11
115,14,12
116,14,13
117,14,14
118,14,16
119,14,17
120,14,18
121,15,2
122,15,3
123,15,4
124,15,10
125,15,12
126,15,13
127,15,16
128,15,17
129,15,18
130,16,4
131,16,5
132,16,8
133,16,9
134,16,10
135,16,11
136,16,12
137,16,14
138,16,15
139,16,17
140,16,18
141,17,2
142,17,3
143,17,4
144,17,5
145,17,9
146,17,16
147,17,17
148,17,18
149,18,2
150,18,3
151,18,11
152,18,13
153,18,16
154,18,17
155,18,18
156,19,3
157,19,4
158,19,5
159,19,6
160,19,9
161,19,11
162,19,13
163,19,15
164,19,16
165,19,18
166,20,5
167,20,6
168,20,9
169,20,15
170,20,16
171,20,17
172,22,4
173,22,6
174,22,7
175,22,10
176,22,11
177,22,18
178,23,3
179,23,7
180,24,2
181,24,3
182,24,5
183,24,6
184,24,7
185,24,11
186,24,12
187,24,13
188,24,16
189,24,17
190,24,18
191,25,3
192,25,9
193,25,10
194,25,11
195,25,12
196,25,13
197,25,15
198,25,18
199,26,3
200,26,4
201,26,5
202,26,9
203,26,15
204,26,17
205,26,18
206,27,1
207,27,3
208,27,4
209,27,11
210,27,12
211,27,13
212,27,14
213,27,16
214,28,3
215,28,4
216,28,5
217,28,8
218,28,9
219,28,10
220,28,12
221,28,13
222,28,14
223,28,15
224,28,17
225,28,18
226,29,10
227,29,11
228,29,12
229,29,17
230,29,18
231,30,4
232,30,6
233,30,7
234,30,9
235,30,11
236,30,13
237,30,18
238,31,3
239,31,4
240,31,5
241,31,6
242,31,9
243,31,12
244,31,13
245,31,16
246,31,18
247,32,4
248,32,9
249,32,18
250,33,9
251,33,10
252,34,3
253,34,5
254,34,9
255,34,10
256,34,13
257,34,14
258,34,15
259,34,17
260,34,18
261,35,3
262,35,5
263,35,12
264,35,13
265,35,16
266,35,18
267,36,2
268,36,3
269,36,9
270,36,10
271,36,11
272,36,16
273,36,17
274,37,3
275,37,4
276,37,11
277,37,16
278,37,17
279,37,18
280,38,4
281,38,9
282,38,10
283,38,13
284,38,17
285,38,18
286,39,2
287,39,4
288,39,9
289,39,10
290,39,11
291,39,12
292,39,13
293,39,14
294,39,15
295,39,16
296,39,17
297,40,2
298,40,3
299,40,4
300,40,6
301,40,7
302,40,10
303,40,11
304,40,12
305,40,13
306,40,14
307,40,15
308,40,16
309,40,17
310,40,18
311,41,4
312,41,6
313,41,9
314,41,10
315,41,13
316,41,14
317,41,15
318,42,4
319,42,5
320,42,11
321,42,12
322,42,13
323,42,15
324,42,16
325,42,17
326,42,18
327,43,3
328,43,4
329,43,5
330,43,6
331,43,8
332,43,9
333,43,10
334,43,12
335,43,13
336,43,14
337,43,15
338,43,16
339,43,18
340,44,6
341,44,7
342,44,10
343,44,18
344,45,2
345,45,3
346,45,4
347,45,18
348,46,3
349,46,4
350,46,5
351,46,6
352,46,9
353,46,10
354,46,12
355,46,13
356,46,14
357,46,18
358,47,3
359,47,4
360,47,9
361,47,10
362,47,12
363,48,3
364,48,4
365,48,9
366,48,10
367,48,15
368,49,5
369,49,10
370,49,12
371,49,17
372,49,18
373,50,3
374,50,4
375,50,5
376,50,9
377,50,10
378,50,11
379,50,17
380,51,3
381,51,4
382,51,5
383,51,8
384,51,9
385,51,10
386,51,13
387,51,14
388,51,15
389,51,17
390,51,18
391,52,2
392,52,3
393,52,4
394,52,5
395,52,6
396,52,12
397,52,13
398,52,15
399,52,16
400,52,17
401,52,18
402,53,2
403,53,4
404,53,9
405,53,17
406,53,18
407,54,4
408,54,10
409,54,11
410,54,18
411,55,10
412,55,15
413,55,17
414,56,9
415,56,10
416,56,17
417,58,3
418,58,4
419,58,10
420,59,2
421,59,3
422,59,9
423,59,11
424,59,16
425,59,17
426,60,4
427,60,6
428,60,7
429,60,9
430,60,10
431,60,11
432,60,12
433,60,16
434,60,17
435,60,18
436,61,4
437,61,6
438,61,8
439,61,9
440,61,10
441,61,11
442,61,12
443,61,13
444,61,14
445,61,15
446,61,18
447,62,2
448,62,3
449,62,4
450,62,6
451,62,16
452,63,1
